GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyecto-ejemplo,default,OrderManager,79,0,2,0,15,0,5,0,4,0
proyecto-ejemplo,com.ejemplo,OrderManager,0,36,0,2,0,9,0,5,0,4
proyecto-ejemplo,com.ejemplo,PedidoRepositoryMemoria,0,18,0,0,0,5,0,3,0,3
proyecto-ejemplo,com.ejemplo,Pedido,0,36,0,0,0,7,0,4,0,4
proyecto-ejemplo,com.ejemplo,PedidoValidatorImpl,18,19,8,8,4,6,5,6,1,2
